issue,title,opened,age_years,labels,platform,subsystem,kind,priority_class,severity,validity_confidence,reproducibility,head_status,related,source_areas,root_cause_assessment,audit_depth
5324,android : migrate openssl from 1.1.1 (EOL) to 3.5.5 - drop < 3.x support,2026-07-18,0.1,bug,Android|macOS|Windows|Linux,platform/build,defect,E,performance/resource,low,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5322,Android (wxQt): kinetic touch-scrolling of lists / scrolled windows broken against upstream wxWidgets 3.2.x,2026-07-18,0.1,bug,Android|Windows,charts/rendering,defect,C,serious functional defect,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5321,Android (wxQt): chart pan and pinch‑zoom broken when built against upstream wxWidgets 3.2.x,2026-07-18,0.1,bug,Android|macOS,charts/rendering,defect,E,performance/resource,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5320,Edit route waypoints: Inconsistent and non-intuitive UX,2026-07-17,0.1,bug,Linux|Flatpak,routes/tracks/storage,defect,C,serious functional defect,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5317,Android arm64 build sets `CMAKE_AR` to non-existent `aarch64-linux-android-ar` (NDK r23+),2026-07-16,0.1,bug,Android|Linux,platform/build,defect,C,serious functional defect,low,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5311,"Waypoint Closing Velocity (VMG) in PGN 129284 is sent in knots instead of m/s, causing NMEA2000 displays to show ~1.94x actual VMG",2026-07-16,0.1,bug,not established/cross-platform,communications/navigation,defect,A,safety/correctness critical,proven,deterministic,open on upstream master,,model/src/autopilot_output.cpp,Proven unit mismatch: knots passed where N2K requires m/s.,thread and code reviewed
5310,Android build uses outdated / not upstream wxWidget 3.1 version,2026-07-16,0.1,bug,Android,platform/build,defect,C,serious functional defect,low,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5308,Toolbar Y position shifts by fixed 48px on launch when using non-Default scaled display resolution (macOS),2026-07-15,0.1,bug,macOS,platform/build,defect,C,serious functional defect,low,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5307,macOS: ToolbarY jump when close to the dock,2026-07-14,0.1,bug,macOS,platform/build,defect,C,serious functional defect,low,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5306,"Crash on startup (EXCEPTION_ACCESS_VIOLATION, NULL pointer read) in opencpn.exe - build 5.14.0-0+91f3b67",2026-07-12,0.1,bug,Windows,startup/rendering,defect,B,crash/hang/data integrity,medium,reported deterministic on one Windows system,open; symbolized stack still needed,#5296; #5231,gui/src/gl_chart_canvas.cpp; plug-in render callbacks,"Null read is proven by the dump, but the final log line does not establish whether core rendering, the graphics driver, or an o-charts callback supplied the null object.",manual issue review
5304,Measure Tool reverses Magnetic Variation when crossing 180 Meridian,2026-07-11,0.1,bug,Windows,navigation/UI,defect,C,serious functional defect,high,reported deterministic,open on upstream master,,gui/src/chcanv.cpp; gui/src/ocpn_frame.cpp,Dateline midpoint is computed by arithmetic averaging; an asynchronous WMM plug-in query also returns global state rather than a value associated with the request.,thread and code reviewed
5299,Compilation issue against GDALProgressFunc,2026-07-06,0.1,bug|wontfix,not established/cross-platform,charts/rendering,defect,E,performance/resource,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5297,Make creating a TCP server simpler,2026-07-05,0.1,enhancement,not established/cross-platform,communications/navigation,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/comm_*; model/src/georef.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5296,"Chart database rebuild crashes non-deterministically in 5.14.0 (regression, unrelated to plugins/chart type)",2026-07-04,0.1,,Windows,charts/plugins,defect,B,crash/hang/data integrity,low,intermittent and scope changed during thread,open on upstream master,#5248; #5231; #5306,gui/src/chartdbs.cpp; gui/src/pluginmanager.cpp; o-charts plug-in state,"Later reports point toward persistent o-charts/EULA state, but the issue's original claim that plug-ins and chart type were excluded was not reproduced.",manual issue review
5287,Segmentation fault in ocpnFloatingToolbarDialog::HideTooltip (this=0x0) when clicking Tools -> Settings (First Run App),2026-06-26,0.1,bug|info needed,not established/cross-platform,startup/UI,defect,B,crash/hang/data integrity,proven,first-run deterministic,candidate fix on upstream master; regression/backport verification needed,,gui/src/ocpn_frame.cpp; gui/src/toolbar.cpp,"Release 5.14 permits an event before g_MainToolbar exists and dereferences it. Current master routes this through null-safe HideTbarTooltip, but has no issue-linked regression proof.",thread and code reviewed
5286,TCP data transmission (YD NMEA Wifi Router) periodically stops.,2026-06-24,0.2,bug,Windows,routes/tracks/storage,defect,C,serious functional defect,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5282,Recording depth data to a track,2026-06-20,0.2,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5275,Fonts are not applied to the status bar (Windows),2026-06-16,0.2,bug,Windows,platform/build,defect,C,serious functional defect,medium,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5268,Using Inland ECDIS sets the toolbar y-pos to 100 and does not reset afterwards.,2026-06-14,0.2,bug,not established/cross-platform,UI/general,defect,C,serious functional defect,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5266,"Security: Private vulnerability reports pending review (3 advisories, 36 days)",2026-06-12,0.2,,not established/cross-platform,routes/tracks/storage,build/release,D,platform/build/release,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5248,5.14 crashing while trying to update chart database,2026-05-28,0.2,bug,macOS|Windows,charts/catalogue,defect,C,serious functional defect,low,not reproduced after directory reset,open; likely support/corrupt-state case,#5296,gui/src/chartdbs.cpp; chartlist.dat,Deleting and re-adding chart directories reportedly restored operation; no code cause established.,manual issue review
5240,OpenCPN 5.14 seems very buggy on Android (new Galaxy S10 Ultra Tablet),2026-05-25,0.2,,Android,Android/release support,compound defect report,C,serious functional defect,low,multiple symptoms on one device,needs issues split/minimized,,Android packaging/UI/plugins (symptom-specific),Umbrella report is useful release feedback but cannot have one code root cause; split into reproducible defects.,manual issue review
5231,OpenCPN 5.14 keeps crashing with O-charts plugin and gr/it/fr charts and extremely laggy,2026-05-23,0.2,bug,Windows,charts/rendering/plugins,defect,B,crash/hang/data integrity,medium,hardware/data-set dependent,open on upstream master,#5296; #5306,gui/src/gl_*; o-charts plug-in; Windows graphics backend,"Long thread narrows part of the problem to Intel Arc/Windows/plug-in interaction, but does not prove one core defect.",manual issue review
5226,Tries to download plugin catalog at startup,2026-05-09,0.3,bug,Linux,communications/navigation,defect,E,performance/resource,medium,not established,not code-verified,,model/src/comm_*; model/src/georef.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5223,Periodic refresh while Showing Tracks,2026-05-07,0.3,enhancement,Android,routes/tracks/storage,feature/enhancement,H,feature request,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5221,When opening large grib file: Grib ERROR: Final 7777 not read: o~o,2026-05-03,0.3,bug,Windows,plugins,defect,C,serious functional defect,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5220,OpenCPN main window can not be on top of plugin windows. Is not focused.,2026-05-03,0.3,bug|info needed,Windows,plugins,defect,C,serious functional defect,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5218,Tidal graph does not show in OpenCPN 5.14 (all platforms),2026-05-02,0.3,bug,macOS|Windows,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5215,Add link to crash report after crash,2026-05-01,0.3,enhancement,not established/cross-platform,UI/general,feature/enhancement,H,feature request,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5213,Add winget release to release workflow,2026-04-29,0.3,enhancement,not established/cross-platform,UI/general,feature/enhancement,H,feature request,low,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5209,Include winget pkgs update in OpenCPN update workflow,2026-04-28,0.3,enhancement,Windows,platform/build,feature/enhancement,H,feature request,low,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5205,Unacceptable Import GPX performance,2026-04-27,0.3,bug,not established/cross-platform,routes/tracks/storage,defect,E,performance/resource,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5203,ARPA/MARPA targets with frequent updates never show tracks,2026-04-24,0.3,bug,Raspberry Pi,AIS,defect,C,serious functional defect,low,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5202,"Waypoints created on the fly and shared between routes remain visible after OpenCPN reopening, even when routes are hidden (v. 5.14.0-0 on Windows 11)",2026-04-24,0.3,bug,Windows,routes/storage,defect,B,crash/hang/data integrity,proven,deterministic,open on upstream master,#5200; #5144,model/src/navobj_db.cpp; model/src/route.cpp,"Same persistence/ownership defect as #5200, made visible when shared waypoints are involved.",thread and code reviewed
5200,Waypoints Shared between Routes end up in Marks Database & don't get deleted (new in 5.14),2026-04-23,0.3,bug,Windows,routes/storage,defect,B,crash/hang/data integrity,proven,deterministic,open on upstream master,#5202; #5144,model/src/navobj_db.cpp; gui/src/navutil.cpp,Route deletion removes relationship rows but leaves route-only points orphaned; existing orphan cleanup is unused and would also need to preserve isolated marks.,thread and code reviewed
5197,Plugin API MouseEventHook and Mouse Left Double Click broken on non OpenGL,2026-04-21,0.3,bug,Windows,charts/rendering,defect,C,serious functional defect,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5192,Plugin windows do not show up when using alt + tab,2026-04-14,0.3,enhancement,Windows,plugins,feature/enhancement,H,feature request,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5190,Selecting chart catalog to update immediately freezes OpenCPN,2026-04-13,0.3,bug,not established/cross-platform,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5188,RenderOverlayMultiCanvas weird behaviour,2026-04-12,0.4,bug,Windows,plugins,defect,C,serious functional defect,low,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5187,TTM targets hiding behind radar blobs,2026-04-11,0.4,bug,Windows,platform/build,defect,C,serious functional defect,medium,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5182,Add date and time format options,2026-04-08,0.4,enhancement,not established/cross-platform,UI/general,feature/enhancement,H,feature request,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5181,plugin tab and current tab disappear when clicking the plugin tab in options,2026-04-08,0.4,bug,Windows,plugins,defect,C,serious functional defect,low,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5180,Offer 64 bit build for windows. Currently 32 bit,2026-04-07,0.4,enhancement,Windows,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5177,Send route to GPS as nmea183 opens nmea183 bridge even if it's not set up to do it.,2026-04-05,0.4,bug,not established/cross-platform,AIS,defect,C,serious functional defect,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5176,"Drop support for old, intel-only macos plugins",2026-04-03,0.4,enhancement,macOS,plugins,feature/enhancement,H,feature request,low,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5174,Use netcdf files in grib plugin,2026-04-02,0.4,enhancement,not established/cross-platform,plugins,feature/enhancement,H,feature request,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5173,Allowing using escape key to exit centre view window,2026-04-02,0.4,enhancement,not established/cross-platform,plugins,feature/enhancement,H,feature request,low,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5171,Core plugins do not show version in options,2026-04-01,0.4,bug,not established/cross-platform,plugins,defect,C,serious functional defect,medium,not established,not code-verified,,"include/ocpn_plugin.h; gui/src/{pluginmanager,ocpn_plugin_gui,api_121}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5170,OpenCPN crash when plugin is adding a chart and after that on startup,2026-03-31,0.4,bug,not established/cross-platform,charts/plugins,defect,B,crash/hang/data integrity,high,intermittent,open on upstream master,,gui/src/ocpn_plugin_gui.cpp; gui/src/chartdbs.cpp,AddChartToDBInPlace deletes and recreates global ChartData while canvases and plug-ins can retain references.,thread and code reviewed
5168,Menus Show option (⌥) Key for Keyboard Shortcuts on macOS; Windows Does not Show Alt Key in Menus,2026-03-29,0.4,bug,macOS|Windows,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5167,Grib File Download Local files fail for MET.NO,2026-03-29,0.4,bug,not established/cross-platform,charts/rendering,defect,C,serious functional defect,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5162,Data Monitor Window Appears Instead of the Letter e,2026-03-27,0.4,bug,macOS|Windows,routes/tracks/storage,defect,C,serious functional defect,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5149,The notification icon does not scale when increasing the UI Scale Factor.,2026-03-23,0.4,bug,not established/cross-platform,UI/general,defect,C,serious functional defect,medium,not established,not code-verified,,gui/src (issue-specific),Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5145,OpenCPN crash during SignalK AIS delta update (only on macOS!),2026-03-22,0.4,bug,macOS|Windows|Linux|Raspberry Pi,AIS/Signal K,defect,B,crash/hang/data integrity,proven,input-dependent,open on upstream master,,model/src/ais_decoder.cpp,RapidJSON values are read using GetString/GetBool/GetInt without type checks; malformed or schema-drifted input asserts or has undefined behaviour.,thread and code reviewed
5144,Circular routes and start/end routepoint.,2026-03-22,0.4,bug,Windows,routes/storage,defect,B,crash/hang/data integrity,proven,deterministic upgrade,fixed on upstream master; release verification needed,#5200; #5202,model/src/navobj_db_migrator.cpp; model/src/navobj_db.cpp,A database schema change shipped without the required migration; master now contains the migration.,thread and code reviewed
5139,Add copy-to-clipboard support in object query (S57) dialog,2026-03-18,0.4,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,low,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5137,charts: absolute source dir becomes relative,2026-03-17,0.4,bug,Windows|Linux,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5125,appveyor.bat is not working in current master branch due to change in host arch,2026-03-09,0.4,,Windows,platform/build,defect,C,serious functional defect,medium,not established,not code-verified,,CMakeLists.txt; cmake/; gui/src/ocpn_platform.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5124,Chart quilter does not layer raster (RNC) charts correctly,2026-03-07,0.4,bug,Windows,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5121,WatchDog has a critical issue with checkboxes on high-resolution screens.,2026-03-06,0.5,enhancement,not established/cross-platform,AIS,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5116,"When setting ""Automatic Daily Tracks at"" to 00:00:00 UTC, the setting reverts to 23:00 UTC on restart.",2026-02-28,0.5,bug,Windows,routes/tracks/storage,defect,C,serious functional defect,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5112,"Allow to ""colorize"" or customize color of mbtiles tab",2026-02-26,0.5,enhancement,not established/cross-platform,charts/rendering,feature/enhancement,H,feature request,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5109,OpenCpn freezes when launched. No way to close it except by log off,2026-02-24,0.5,bug|info needed,not established/cross-platform,charts/rendering,defect,C,serious functional defect,medium,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5102,OpenCPN Stuck and freeze when there is too much mbtiles files,2026-02-23,0.5,bug,not established/cross-platform,charts/performance,defect,E,performance/resource,high,reported deterministic at scale,open on upstream master,,gui/src/mbtiles; gui/src/chartdb.cpp,"Large-catalog path needs profiling; likely synchronous catalogue/tile work, not yet proven.",manual issue review
5097,"Android Buttons ""Continuer"" and ""Modifier"" Android Tab A9+",2026-02-22,0.5,bug,Android,charts/rendering,defect,C,serious functional defect,low,not established,not code-verified,,"gui/src/{chartdbs,chartimg,gl_*}.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5085,OpenCPN send out PGN 59904 before every other PGN in N2KFormat_YD_RAW,2026-02-17,0.5,bug,not established/cross-platform,communications/navigation,defect,C,serious functional defect,medium,not established,not code-verified,,model/src/comm_*; model/src/georef.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5082,"Target Query Dialog: Not HDPI aware, layout issues",2026-02-16,0.5,bug|deferred,Linux,AIS,defect,C,serious functional defect,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5069,AIS type 14 messages not being displayed and not complying with ITU-R M.1371-5,2026-02-08,0.5,enhancement,not established/cross-platform,AIS,defect/compliance,A,safety/correctness critical,medium,supplied message corpus,open on upstream master,,model/src/ais_decoder.cpp; model/src/ais_target_data.cpp,Type-14 lifetime and presentation are attached to target state; the claimed standards interpretation requires maintainer/spec verification before behaviour changes.,thread and code reviewed
5015,Layer linked route waypoint copies,2026-01-08,0.6,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5010,Visually distinct layer mark duplicates,2026-01-07,0.6,enhancement,not established/cross-platform,AIS,feature/enhancement,H,feature request,low,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5009,Stable layer GUID,2026-01-07,0.6,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
5004,Allow route creation to reuse layer waypoints by duplicating them,2026-01-02,0.6,enhancement,not established/cross-platform,routes/tracks/storage,feature/enhancement,H,feature request,medium,not established,not code-verified,,"model/src/{route,track,navobj_db}.cpp; gui/src/navutil.cpp",Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
4983,OCPN 5.13 crashes with EXC_BAD_ACCESS possibly as a result of processing MBTiles,2025-12-18,0.7,bug,macOS,charts/rendering,defect,B,crash/hang/data integrity,high,intermittent under cache rebuild,open on upstream master,#3851; #4842,gui/src/gl_texture_mgr.cpp; gui/src/gl_tex_cache.cpp,Strong lifetime/race hypothesis around asynchronous texture-cache jobs; exact crashing interleaving not yet proven.,thread and code reviewed
4967,"Automatic column width for Route Properties, Tracks, and the AIS Target List.",2025-12-14,0.7,enhancement,not established/cross-platform,AIS,feature/enhancement,H,feature request,medium,not established,not code-verified,,model/src/ais_decoder.cpp; gui/src/ais.cpp,Unresolved; taxonomy-only triage. Read/reproduce before changing code.,metadata/title/body triage
